order,name,name_en,status,category,update,effort,new,description,description_en
506,Fix: chat tapaba otras ventanas,Fix: chat covered other windows,done,Interfaz,U94,,,"El chat se dibujaba siempre encima de inventario, edificios y demas paneles. Ahora solo tiene prioridad cuando el jugador lo tiene realmente abierto, si no queda ultimo","The chat used to always render on top of inventory, buildings and other panels. Now it only takes priority when the player actually has it open; otherwise it stays last"
507,Fix: mundo cargado sin indice de chunk,Fix: a loaded world had no chunk index,done,Tecnico,U99,,,"Un mundo cargado desde un guardado no armaba su indice de chunks, lo que rompia cosas que dependen de el","A world loaded from a save wasn't building its chunk index, which broke things that depend on it"
77,Checklist de smoke test manual,Manual smoke-test checklist,backlog,Tecnico,,2,,"Lista corta de acciones del jugador (talar, minar, craftear, construir, morir, guardar, entrar a una cueva) para correr antes de pushear. Toda feature nueva agrega su verbo a la lista","A short list of player actions (chop, mine, craft, build, die, save, enter a cave) to run before pushing. Every new feature adds its own verb to the list"
78,Versionado independiente de personaje y mundo,Independent character and world versioning,backlog,Persistencia,,4,,"Hoy la compatibilidad de un guardado es todo o nada. La idea: version de personaje y de mundo por separado, con estados Compatible / Hay actualizacion / Incompatible, boton de actualizar si se puede migrar, o poder borrarlo si no","Today save compatibility is all-or-nothing. The idea: separate character and world versions, with Compatible / Update available / Incompatible states, an update button if it can be migrated, or the option to delete it if not"
79,Weight y capacidad de carga,Weight and carry capacity,backlog,Personaje,,3,,Cada item pesa algo y el personaje tiene un limite de carga. Pasarse penaliza (menos velocidad o no poder moverse). Candidato a conectarse con el sistema de stats como un derivado nuevo,Every item has some weight and the character has a carry limit. Going over it penalizes you (less speed or can't move). A candidate to hook into the stats system as a new derived stat
80,No se pueden abrir dos ventanas al mismo tiempo,Only one window open at a time,backlog,Interfaz,,3,,"Regla de diseño: abrir una ventana deberia cerrar cualquier otra ya abierta. Hoy la ficha de personaje ya lo hace, falta llevarlo a todas las ventanas de forma pareja. Ojo: esto va contra la norma del genero (otros juegos del estilo dejan convivir varias ventanas a la vez, ej inventario + equipo + chat abiertos juntos) - vale la pena reevaluar la regla antes de programarla","Design rule: opening a window should close any other one already open. The character sheet already does this today; it's missing from the rest of the windows. Heads up: this goes against the genre norm (other similar games let several windows coexist, e.g. inventory + equipment + chat open together) — worth reconsidering the rule before building it"
81,Reorganizar Core/ en subcarpetas,Reorganize Core/ into subfolders,backlog,Tecnico,,2,,"Mismo criterio que ya se aplico a Data/, pero en Core/ (unos 15 archivos sueltos). No urgente","Same approach already applied to Data/, but for Core/ (about 15 loose files). Not urgent"
82,Guard de estructura de carpetas + revisar tests/,Folder-structure guard + review tests/,backlog,Tecnico,,1,,"Una regla que avise si una carpeta ya organizada (como Data/) vuelve a acumular archivos sueltos. De paso, revisar si tests/ (hoy plano a proposito) conviene agrupar tambien","A rule that warns if an already-organized folder (like Data/) starts piling up loose files again. While at it, review whether tests/ (flat on purpose today) is worth grouping too"
83,Frontera contenido oficial vs datos de usuario (y soporte de mods),Boundary between official content and user data (and mod support),backlog,Tecnico,,4,,"Definir que es contenido del juego (stats, recetas, edificios) vs datos del jugador (personajes, mundos, configuracion), para poder soportar mods como una capa aparte mas adelante","Define what counts as game content (stats, recipes, buildings) vs player data (characters, worlds, settings), to be able to support mods as a separate layer down the line"
84,Optimizar fog del minimapa/mapa,Optimize map/minimap fog,backlog,Tecnico,,2,,El overlay de niebla del mapa y minimapa todavia recorre el mapa completo en cada cambio. Se nota mas cuanto mas grande sea el mundo,The map and minimap fog overlay still scans the whole map on every change. More noticeable the bigger the world
85,Cobertura de tests de UI,UI test coverage,backlog,Tecnico,,3,,"Todavia no hay tests automaticos de la interfaz (arrastrar items, colocar edificios, ventanas). Hoy se cubre con pruebas manuales","There still aren't automated UI tests (dragging items, placing buildings, windows). Covered by manual testing for now"
86,Job de exportacion automatica en CI,Automatic export job in CI,backlog,Tecnico,,2,,"El pipeline no genera todavia un build jugable exportado en cada push, hay que hacerlo a mano desde Godot",The pipeline doesn't yet produce a playable exported build on every push; it has to be done by hand from Godot
87,Validar comandos contra cliente modificado,Validate commands against a modified client,backlog,Tecnico,,3,,"Hoy se valida lo que un jugador manda al entrar, pero no cada comando en vivo contra alguien que mande cosas imposibles. No urgente mientras el multijugador sea solo con amigos","Today what a player sends is validated on entry, but not every live command against someone sending impossible things. Not urgent while multiplayer is only with friends"
88,Sistema de mascotas,Pet system,backlog,Personaje,,4,,"Poder tener una mascota que te acompañe, todavia sin definir mecanicas","Being able to have a pet that follows you around, mechanics not yet defined"
89,Nave/pod de aterrizaje e interacciones,Landing ship/pod and interactions,backlog,Contenido,,4,,"La nave o pod con la que llegas al mundo, y poder interactuar con ella (por ejemplo como punto de referencia o funcionalidad especial)","The ship or pod you arrive at the world in, and being able to interact with it (e.g. as a landmark or with special functionality)"
511,Investigar/identificar items,Research/identify items,done,Recursos,U103,,,"Un personaje empieza sin saber que es cada cosa. Por ejemplo, una piedra se ve como ""Objeto duro"" hasta que la investigas. Una vez identificado, se queda identificado para siempre en ese personaje","A character starts out not knowing what anything is. For example, a rock shows up as ""Hard object"" until you research it. Once identified, it stays identified forever for that character"
512,Tirar y separar stacks de items,Drop and split item stacks,done,Personaje,U104,,,"Se puede arrastrar un item fuera del inventario y soltarlo en el piso (de a uno por gesto, no el stack entero), y separar un stack en dos","You can drag an item out of the inventory and drop it on the ground (one at a time per gesture, not the whole stack), and split a stack into two"
515,Animales: comportamiento y drops,Animals: behavior and drops,done,Combate,U115-117,,,"Cinco especies (zorro, jabali, ciervo, liebre, urogallo) con su propio comportamiento: pastan, se asustan, huyen o cargan segun el animal. Tienen un momento de sobresalto antes de reaccionar, y cada uno tira sus propios materiales al cazarlo (carne, cuero)","Five species (fox, boar, deer, hare, grouse) each with their own behavior: graze, spook, flee or charge depending on the animal. There's a startle moment before they react, and each one drops its own materials when hunted (meat, hide)"
516,Mejoras al servidor hosteado,Improvements to the hosted server,done,Multijugador,U109-114,,,"Varias correcciones reales: el servidor dedicado directamente no arrancaba hacia varias entregas (le faltaban archivos de datos al build), se agrego una herramienta de censo y benchmark del mundo, y se arreglo un bug que hacia que al entrar a un servidor te quedaras ""trabado"" sin poder moverte por unos segundos","Several real fixes: the dedicated server flat out wouldn't start for several updates in a row (the build was missing data files), a world census/benchmark tool was added, and a bug was fixed that left you ""stuck"" unable to move for a few seconds when joining a server"
517,World Event: ataque/defensa de convoy por faccion,World Event: convoy attack/defense by faction,backlog,Contenido,,4,,"Evento donde hay que atacar o defender un convoy, dependiendo de tu faccion","An event where you have to attack or defend a convoy, depending on your faction"
518,Configuraciones de servidor (multiplicadores),Server configs (multipliers),backlog,Multijugador,,3,,"Poder crear un servidor con reglas propias: doble experiencia, mejor % de loot, mas o menos vida, etc","Being able to create a server with its own rules: double experience, better loot %, more or less health, etc"
544,Repensar el modelo de loot,Rethink the loot model,done,Combate,U126,,1,"Resuelto: los afijos generados ahora pueden dar un bonus en porcentaje sobre un stat derivado (no solo un numero fijo en un rango), gracias a AffixEffect.DerivedPercent","Resolved: generated affixes can now grant a percentage bonus on a derived stat (not just a flat number in a range), via AffixEffect.DerivedPercent"
520,Blackboard narrativo (flags por mundo),Narrative blackboard (per-world flags),backlog,Contenido,,4,,"Tres diccionarios en el personaje (booleanos, numeros y textos) para guardar estado de dialogo/lore por mundo, con claves tipo string. De paso resuelve la regla de que las quests solo se pueden agregar al final: si se guardan por id en vez de por posicion, se puede reordenar sin romper nada","Three dictionaries on the character (booleans, numbers and text) to store dialogue/lore state per world, with string-type keys. As a bonus, this solves the rule that quests can only be appended, never reordered: if they're stored by id instead of by position, reordering stops being a problem"
521,Sistema de auras / efectos de estado,Aura / status-effect system,backlog,Combate,,4,,"Buffs y debuffs con duracion, stack y su propio tooltip generado desde el mismo dato que aplica el efecto (nada de descripciones escritas a mano). Candidato natural para el campo curve que ya esta reservado en stats.json, y primer paso real hacia la mitigacion de daño","Buffs and debuffs with duration, stacking, and their own tooltip generated from the same data that applies the effect (no hand-written descriptions). A natural candidate for the curve field already reserved in stats.json, and a real first step toward damage mitigation"
522,Config de balance por mundo,Per-world balance config,backlog,Persistencia,,3,,"Que cada mundo guarde sus propios multiplicadores de balance (velocidad de crecimiento, aparicion de enemigos, etc) congelados en el save. Conecta con la idea de contenido oficial empaquetado + hash validado, resuelto desde otro angulo","Each world storing its own balance multipliers (growth speed, enemy spawn rate, etc) frozen into the save. Connects with the idea of officially packaged content + hash-validated handshake, solved from a different angle"
523,Escritura atomica de guardado (con backup),Atomic save writing (with backup),backlog,Persistencia,,3,,"Hoy un guardado corrupto a mitad de escritura es progreso perdido. La idea: guardar siempre a un archivo par (.back) antes de pisar el principal, para poder recuperarse","Today a save corrupted mid-write means lost progress. The idea: always write to a paired file (.back) before overwriting the main one, so you can recover"
524,Convencion de ids con namespace,Namespaced id convention,backlog,Tecnico,,3,,"Pasar de ids planos (stone_sword) a ids con namespace (weapon:bronze:sword). Migrar es barato ahora; una vez que existan mods, mucho menos",Moving from flat ids (stone_sword) to namespaced ids (weapon:bronze:sword). Cheap to migrate now; much less so once mods exist
525,Marcadores de mapa puestos por el jugador,Player-placed map markers,backlog,Interfaz,,2,,"Poder poner tus propios iconos/notas en el mapa (ej una tumba con un texto), ademas de lo que genera el juego","Being able to put your own icons/notes on the map (e.g. a grave with a note), in addition to what the game generates"
526,"Sistema de ""primeras veces"" (logros/telemetria)","""Firsts"" system (achievements/telemetry)",backlog,Contenido,,2,,"Registrar la primera vez que pasa algo (descubrir un bioma, terminar cierta quest). Base barata para logros mas adelante","Recording the first time something happens (discovering a biome, finishing a certain quest). A cheap base for achievements later"
527,Comprimir los archivos de guardado,Compress save files,backlog,Persistencia,,2,,"Los saves hoy se escriben sin comprimir. A medida que el mundo crece esto va a pesar cada vez mas, conviene comprimirlos","Saves are written uncompressed today. As the world grows this will only get heavier, worth compressing them"
528,Inventarios como objetos con id propio,Inventories as objects with their own id,backlog,Tecnico,,3,,"Que cada inventario (equipo, secundario, etc) sea su propio objeto referenciado por id, guardado aparte, en vez de vivir embebido en el personaje. Incluye la idea de un inventario ""basura"" dedicado","Each inventory (equipment, secondary, etc) being its own object referenced by id, saved separately, instead of living embedded in the character. Includes the idea of a dedicated ""trash"" inventory"
529,Hook de comportamiento para edificios especiales,Behavior hook for special buildings,backlog,Edificios,,3,,El sistema de edificios es 100% data-driven a proposito (agregar uno no pide codigo). En algun momento va a hacer falta un punto de entrada para comportamiento especial en algunos edificios puntuales - conviene decidir por donde entra antes de que el contenido lo obligue,The building system is deliberately 100% data-driven (adding one needs no code). At some point a hook will be needed for special behavior on specific buildings — worth deciding where it plugs in before content forces a bad answer
530,Sub-biomas (variantes de bioma),Sub-biomes (biome variants),backlog,Mundo,,4,,"Variantes de un mismo bioma (ej bosque y bosque profundo, volcanico y volcanico con grietas) en vez de solo sumar biomas nuevos. Las regiones de bioma quedaron grandes con el update 118 (hasta ~836 celdas de lado en Big), esto ayuda a que no se sientan repetitivas. El salto de ruido para esto ya esta reservado en el generador, falta el resto","Variants within the same biome (e.g. forest and deep forest, volcanic and volcanic-with-cracks) instead of just adding new biomes. Biome regions got large with update 118 (up to ~836 cells across on Big), this helps them not feel repetitive. The noise layer for this is already reserved in the generator, the rest is still missing"
531,Evaluar si el tamaño de chunk (16) sigue siendo el correcto,Evaluate whether chunk size (16) is still right,backlog,Tecnico,,2,,"Con mapas mucho mas grandes, un chunk mas grande (32) significaria muchas menos entradas guardadas por mundo. No cambiar esto sin medir: un chunk mas grande tambien activa mas entidades de una y hace la busqueda espacial mas gruesa. Ya se agrego lo necesario a la herramienta de benchmark para poder medirlo","With much bigger maps, a larger chunk (32) would mean far fewer saved entries per world. Don't change this without measuring: a bigger chunk also activates more entities at once and makes spatial lookup coarser. The benchmark tool already has what's needed to measure this"
532,Comprimir el export de RevealAll,Compress the RevealAll export,backlog,Tecnico,,1,,"La accion de admin que revela todo el mapa exporta bastante JSON sin comprimir por personaje. No es un problema hoy porque es una herramienta de admin, pero conviene comprimirlo antes de que estuviera pensado para jugadores","The admin action that reveals the whole map exports a fair amount of uncompressed JSON per character. Not a problem today since it's an admin tool, but worth compressing before it's ever meant for players"
533,Estado de tutorial como diccionario global,Tutorial state as a global dictionary,backlog,Interfaz,,2,,"Guardar el progreso del tutorial (que pasos ya se vieron) a nivel de perfil, no por personaje ni por mundo","Store tutorial progress (which steps have been seen) at the profile level, not per character or per world"
